Tipo,Precisión,Recall,F1-score,Support
KCHI,0.29899430639067737,0.7107934600423769,0.42092646521775773,31621
OCH,0.05788328498103102,0.4516760992599042,0.10261609218139559,9188
FEM,0.1040043186942301,0.679445689154427,0.18039513761518422,24102
MAL,0.07354828570680216,0.608318890814558,0.13123028391167194,4616
SIL,0.9802912963125935,0.4167901428582119,0.5848989729264246,534516
SPEECH,0.16366636261200837,0.9316016126076598,0.2784192559056556,65484
Average_con_SIL,0.27973130911622374,0.6331043157895231,0.28308103462634826,669527
Average_sin_SIL,0.1396193116769498,0.6763671503757853,0.22271744696633303,135011
Macro_F1_Lavechin,0.1396193116769498,0.6763671503757853,0.22271744696633303,135011
