Tipo,Precisión,Recall,F1-score,Support
KCHI,0.15415429242350992,0.14686142913541256,0.15041951679751997,15198
OCH,0.0,0.0,0.0,0
FEM,0.19627971064416122,0.5634332047859191,0.29113762358531536,40452
MAL,0.015410958904109588,0.0632688927943761,0.024784853700516352,2276
SIL,0.5951591814394745,0.1579843734865851,0.24968905274303319,123892
SPEECH,0.29089203537416813,0.7627076352748271,0.4211572622908066,56108
Average_con_SIL,0.2086493631309039,0.28237592257952,0.18953138485286525,237926
Average_sin_SIL,0.13134739946918977,0.307254232398107,0.17749985127483164,114034
Macro_F1_Lavechin,0.13134739946918977,0.307254232398107,0.17749985127483164,114034
