Tipo,Precisión,Recall,F1-score,Support
KCHI,0.7934118861271179,0.43932755500523857,0.5655172413793104,20998
OCH,0.3781090873482178,0.5640978816654493,0.4527466729202087,27380
FEM,0.6870773555384656,0.47872360082038395,0.5642818251116193,54121
MAL,0.6008114089009098,0.3302473307203676,0.4262166405023548,29596
SIL,0.6405920571403985,0.6358588878448791,0.6382166970314007,70242
SPEECH,0.7680568024157349,0.7716886240638495,0.7698684300224964,109758
Average_con_SIL,0.6446764329118074,0.5366573133533613,0.5694745844945651,312095
Average_sin_SIL,0.6454933080660892,0.5168169984550578,0.5557261619871979,241853
Macro_F1_Lavechin,0.6454933080660892,0.5168169984550578,0.5557261619871979,241853
