Tipo,Precisión,Recall,F1-score,Support
KCHI,0.7036636156144851,0.841920045045045,0.7666081339160974,35520
OCH,0.0,0.0,0.0,0
FEM,0.5083863660878006,0.5062159331954998,0.5072988281512775,37243
MAL,0.29381443298969073,0.303595206391478,0.29862475442043224,4506
SIL,0.9076048489478592,0.7306033118392374,0.8095419426601598,110573
SPEECH,0.6726269631062413,0.8815446440145764,0.7630440474260993,69427
Average_con_SIL,0.5143493711243461,0.5439798567476394,0.5241862844290109,257269
Average_sin_SIL,0.4356982755596436,0.5066551657293198,0.46711515278278126,146696
Macro_F1_Lavechin,0.4356982755596436,0.5066551657293198,0.46711515278278126,146696
