Tipo,Precisión,Recall,F1-score,Support
KCHI,0.6025624921492275,0.6151577327519877,0.6087949743003997,7798
OCH,0.5994943109987357,0.5934175947941435,0.5964404754417961,7991
FEM,0.6042673107890499,0.6601671309192201,0.6309815736005044,6821
MAL,0.0,0.0,0.0,0
SIL,0.9774018611754656,0.9477713561374775,0.9623585858424955,159357
SPEECH,0.673274711470519,0.8308385409097515,0.7438038033696901,20643
Average_con_SIL,0.5761667810971663,0.6078920592520968,0.5903965687591477,202610
Average_sin_SIL,0.4959197650815065,0.5399161998750206,0.5160041653424781,43253
Macro_F1_Lavechin,0.4959197650815065,0.5399161998750206,0.5160041653424781,43253
