169,labname,homebank_id,aclew_id,child_level_id,sharing_environment,lab_internal_subject_id,age_mo_round,age,age_exact,child_sex,language,lang_percent,corpus_narrow,corpus,std_mat_ed,mat_ed,fat_ed,std_length_of_recording,length_of_recording,household_size,premature,region,ses_details,,,
122,ROW,,7320,C004,N,C004,26,25m;25d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)","Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",901,15:01:03,3,N,Northwest England,NA,,,
123,ROW,,2099,C004,N,C004,27,27m;1d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)","Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",890,14:50:07,3,N,Northwest England,NA,,,
124,ROW,,7102,C004,N,C004,31,31m;6d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)","Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",960,16:00:00,3,N,Northwest England,NA,,,
125,ROW,,1916,C006,N,C006,11,11m;14d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,4,N,Northwest England,NA,,,
126,ROW,,5670,C006,N,C006,16,15m;22d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,952,15:52:26,4,N,Northwest England,NA,,,
127,ROW,,4009,C006,N,C006,19,18m;22d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,4,N,Northwest England,NA,,,
128,ROW,,3430,C006,N,C006,21,21m;9d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,4,N,Northwest England,NA,,,
129,ROW,,2006,C006,N,C006,25,24m;17d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,910,15:09:53,4,N,Northwest England,NA,,,
130,ROW,,6822,C006,N,C006,27,27m;1d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,920,15:19:51,4,N,Northwest England,NA,,,
131,ROW,,572,C006,N,C006,31,30m;22d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,902,15:01:50,4,N,Northwest England,NA,,,
132,ROW,,8080,C008,N,C008,11,11m;9d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,960,16:00:00,4,N,Northwest England,NA,,,
133,ROW,,6164,C008,N,C008,15,15m;3d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,960,16:00:00,4,N,Northwest England,NA,,,
134,ROW,,4955,C008,N,C008,18,18m;12d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,960,16:00:00,4,N,Northwest England,NA,,,
135,ROW,,8636,C008,N,C008,22,21m;24d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,949,15:49:20,4,N,Northwest England,NA,,,
136,ROW,,4877,C008,N,C008,25,25m;11d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,960,16:00:00,4,N,Northwest England,NA,,,
137,ROW,,2542,C008,N,C008,28,27m;16d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,960,16:00:00,4,N,Northwest England,NA,,,
138,ROW,,3825,C008,N,C008,30,30m;14d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,878,14:38:10,4,N,Northwest England,NA,,,
139,ROW,,3417,C010,N,C010,11,11m;0d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,960,16:00:00,4,N,Northwest England,NA,,,
140,ROW,,5644,C010,N,C010,15,15m;13d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,960,16:00:00,4,N,Northwest England,NA,,,
141,ROW,,1672,C010,N,C010,19,18m;18d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,960,16:00:00,4,N,Northwest England,NA,,,
142,ROW,,6276,C010,N,C010,22,21m;28d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,960,16:00:00,4,N,Northwest England,NA,,,
143,ROW,,6969,C010,N,C010,25,24m;26d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,960,16:00:00,4,N,Northwest England,NA,,,
144,ROW,,4224,C010,N,C010,28,27m;17d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,960,16:00:00,4,N,Northwest England,NA,,,
145,ROW,,5715,C010,N,C010,31,30m;20d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",A Level/NVQ Level3/similar;,960,16:00:00,4,N,Northwest England,NA,,,
146,ROW,,4913,C012,N,C012,11,11m;14d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,3,N,Northwest England,NA,,,
147,ROW,,5355,C012,N,C012,15,15m;5d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,3,N,Northwest England,NA,,,
148,ROW,,7090,C012,N,C012,19,18m;26d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,3,N,Northwest England,NA,,,
149,ROW,,1768,C012,N,C012,21,21m;10d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,889,14:48:40,3,N,Northwest England,NA,,,
150,ROW,,3350,C012,N,C012,25,24m;24d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,3,N,Northwest England,NA,,,
151,ROW,,1065,C012,N,C012,28,27m;17d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,831,13:50:31,3,N,Northwest England,NA,,,
152,ROW,,454,C012,N,C012,31,30m;22d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,3,N,Northwest England,NA,,,
153,ROW,,8807,C016,N,C016,11,11m;13d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,hs,GCSE/O level/NVW Level 1 or 2/ similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,916,15:15:37,4,N,Northwest England,NA,,,
154,ROW,,3219,C016,N,C016,15,15m;5d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,hs,GCSE/O level/NVW Level 1 or 2/ similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,912,15:11:40,4,N,Northwest England,NA,,,
155,ROW,,6970,C016,N,C016,19,19m;6d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,hs,GCSE/O level/NVW Level 1 or 2/ similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,739,12:18:38,4,N,Northwest England,NA,,,
156,ROW,,1815,C016,N,C016,22,21m;16d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,hs,GCSE/O level/NVW Level 1 or 2/ similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,936,15:36:20,4,N,Northwest England,NA,,,
157,ROW,,8669,C016,N,C016,25,25m;15d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,hs,GCSE/O level/NVW Level 1 or 2/ similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,4,N,Northwest England,NA,,,
158,ROW,,7144,C016,N,C016,27,27m;3d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,hs,GCSE/O level/NVW Level 1 or 2/ similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,823,13:42:33,4,N,Northwest England,NA,,,
159,ROW,,3486,C016,N,C016,31,31m;15d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,hs,GCSE/O level/NVW Level 1 or 2/ similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,901,15:00:43,4,N,Northwest England,NA,,,
160,ROW,,1129,C018,N,C018,11,11m;9d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,940,15:39:56,4,N,Northwest England,NA,,,
161,ROW,,8738,C018,N,C018,16,15m;22d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,4,N,Northwest England,NA,,,
162,ROW,,9801,C018,N,C018,19,18m;20d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,4,N,Northwest England,NA,,,
163,ROW,,4431,C018,N,C018,22,21m;17d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,4,N,Northwest England,NA,,,
164,ROW,,3761,C018,N,C018,25,24m;13d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,4,N,Northwest England,NA,,,
165,ROW,,5289,C018,N,C018,27,27m;5d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,4,N,Northwest England,NA,,,
166,ROW,,2196,C018,N,C018,31,30m;26d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,4,N,Northwest England,NA,,,
167,ROW,,1081,C019,N,C019,11,11m;15d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",GCSE/O level/NVW Level 1 or 2/ similar;,960,16:00:00,3,N,Northwest England,NA,,,
168,ROW,,2945,C019,N,C019,15,15m;7d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",GCSE/O level/NVW Level 1 or 2/ similar;,915,15:14:30,3,N,Northwest England,NA,,,
169,ROW,,7980,C019,N,C019,19,18m;27d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",GCSE/O level/NVW Level 1 or 2/ similar;,947,15:46:46,3,N,Northwest England,NA,,,
170,ROW,,4865,C019,N,C019,22,21m;28d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",GCSE/O level/NVW Level 1 or 2/ similar;,932,15:31:51,3,N,Northwest England,NA,,,
171,ROW,,9408,C019,N,C019,27,27m;6d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",GCSE/O level/NVW Level 1 or 2/ similar;,845,14:05:04,3,N,Northwest England,NA,,,
172,ROW,,8905,C019,N,C019,31,31m;3d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",GCSE/O level/NVW Level 1 or 2/ similar;,960,16:00:00,3,N,Northwest England,NA,,,
173,ROW,,4425,C023,N,C023,11,11m;12d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,698,11:38:03,5,N,Northwest England,NA,,,
174,ROW,,7345,C023,N,C023,15,15m;15d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
175,ROW,,4132,C023,N,C023,19,19m;1d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
176,ROW,,7132,C023,N,C023,21,21m;14d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,856,14:15:49,5,N,Northwest England,NA,,,
177,ROW,,2925,C023,N,C023,25,24m;27d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
178,ROW,,948,C023,N,C023,28,27m;28d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
179,ROW,,7288,C024,N,C024,11,11m;4d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,A Level/NVQ Level3/similar;,952,15:51:47,3,N,Northwest England,NA,,,
180,ROW,,2516,C024,N,C024,15,15m;3d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,A Level/NVQ Level3/similar;,960,16:00:00,3,N,Northwest England,NA,,,
181,ROW,,2745,C024,N,C024,18,18m;12d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,A Level/NVQ Level3/similar;,920,15:20:29,3,N,Northwest England,NA,,,
182,ROW,,8034,C024,N,C024,21,21m;2d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,A Level/NVQ Level3/similar;,960,16:00:00,3,N,Northwest England,NA,,,
183,ROW,,2014,C024,N,C024,25,24m;29d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,A Level/NVQ Level3/similar;,940,15:40:26,3,N,Northwest England,NA,,,
184,ROW,,9497,C024,N,C024,27,27m;4d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,A Level/NVQ Level3/similar;,960,16:00:00,3,N,Northwest England,NA,,,
185,ROW,,7999,C024,N,C024,31,30m;26d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,A Level/NVQ Level3/similar;,945,15:45:09,3,N,Northwest England,NA,,,
186,ROW,,9245,C025,N,C025,12,11m;16d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,3,N,Northwest England,NA,,,
187,ROW,,3438,C025,N,C025,15,15m;5d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,3,N,Northwest England,NA,,,
188,ROW,,1132,C025,N,C025,19,19m;2d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,3,N,Northwest England,NA,,,
189,ROW,,9620,C025,N,C025,22,21m;18d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,954,15:53:44,3,N,Northwest England,NA,,,
190,ROW,,490,C025,N,C025,25,24m;23d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,887,14:47:15,3,N,Northwest England,NA,,,
191,ROW,,6339,C025,N,C025,27,27m;6d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,935,15:35:18,3,N,Northwest England,NA,,,
192,ROW,,2296,C025,N,C025,31,30m;20d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,3,N,Northwest England,NA,,,
193,ROW,,9269,C026,N,C026,11,11m;9d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
194,ROW,,7866,C026,N,C026,15,15m;5d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
195,ROW,,3628,C026,N,C026,19,19m;0d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
196,ROW,,3584,C026,N,C026,21,21m;4d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
197,ROW,,1156,C026,N,C026,25,24m;16d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
198,ROW,,7897,C026,N,C026,27,27m;9d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
199,ROW,,558,C026,N,C026,31,30m;30d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,sc,A Level/NVQ Level3/similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
200,ROW,,2759,C029,N,C029,12,11m;23d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,3,N,Northwest England,NA,,,
201,ROW,,9826,C029,N,C029,16,15m;16d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,3,N,Northwest England,NA,,,
202,ROW,,4148,C029,N,C029,19,19m;2d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,893,14:53:15,3,N,Northwest England,NA,,,
203,ROW,,7088,C029,N,C029,21,21m;4d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,792,13:11:37,3,N,Northwest England,NA,,,
204,ROW,,96,C029,N,C029,25,25m;4d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,791,13:10:59,3,N,Northwest England,NA,,,
205,ROW,,7148,C029,N,C029,27,27m;8d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,952,15:52:04,3,N,Northwest England,NA,,,
206,ROW,,9057,C030,N,C030,11,11m;5d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,747,12:27:21,5,N,Northwest England,NA,,,
207,ROW,,4816,C030,N,C030,15,15;3d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,913,15:12:48,5,N,Northwest England,NA,,,
208,ROW,,2391,C030,N,C030,18,18m;15d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,873,14:32:42,5,N,Northwest England,NA,,,
209,ROW,,7437,C030,N,C030,21,21m;7d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
210,ROW,,1522,C030,N,C030,24,24m;15d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,957,15:57:17,5,N,Northwest England,NA,,,
211,ROW,,5536,C030,N,C030,27,27m;10d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,922,15:21:49,5,N,Northwest England,NA,,,
212,ROW,,8008,C030,N,C030,31,30m;26d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
213,ROW,,7413,C035,N,C035,11,11m;14d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,GCSE/O level/NVW Level 1 or 2/ similar;,960,16:00:00,3,N,Northwest England,NA,,,
214,ROW,,6648,C035,N,C035,15,15m;7d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,GCSE/O level/NVW Level 1 or 2/ similar;,960,16:00:00,3,N,Northwest England,NA,,,
215,ROW,,5600,C035,N,C035,19,18m;20d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,GCSE/O level/NVW Level 1 or 2/ similar;,960,15:59:33,3,N,Northwest England,NA,,,
216,ROW,,1905,C035,N,C035,22,21m;19d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,GCSE/O level/NVW Level 1 or 2/ similar;,901,15:00:36,3,N,Northwest England,NA,,,
217,ROW,,6834,C035,N,C035,24,24m;13d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,GCSE/O level/NVW Level 1 or 2/ similar;,960,16:00:00,3,N,Northwest England,NA,,,
218,ROW,,3945,C035,N,C035,28,27m;19d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,GCSE/O level/NVW Level 1 or 2/ similar;,960,16:00:00,3,N,Northwest England,NA,,,
219,ROW,,3988,C035,N,C035,30,30m;11d,y,F,British English,100,LuCiD_Lang05,LuCiD_Lang05,cd,University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,GCSE/O level/NVW Level 1 or 2/ similar;,960,16:00:00,3,N,Northwest England,NA,,,
220,ROW,,5272,C036,N,C036,11,10m;28d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
221,ROW,,6431,C036,N,C036,15,15m;10d,y,M,British English,100,LuCiD_Lang05,LuCiD_Lang05,ad,"Postgraduate/ Similar e.g (PGCE, PhD, MA etc)",University degree/ HND/HNC/NVQ Level4 or 5/ Similar;,960,16:00:00,5,N,Northwest England,NA,,,
