169,labname,homebank_id,aclew_id,child_level_id,sharing_environment,lab_internal_subject_id,age_mo_round,age,age_exact,child_sex,language,lang_percent,corpus_narrow,corpus,std_mat_ed,mat_ed,fat_ed,std_length_of_recording,length_of_recording,household_size,premature,region,ses_details,,,
37,SOD,108,5477,CW186,N,C186,16,15m;28d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,278,278,NA,Y,"Winnipeg, Manitoba, Canada",NA,,,
38,SOD,108,2042,CW186,N,C186,16,16m;03d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,309,309,NA,Y,"Winnipeg, Manitoba, Canada",NA,,,
39,SOD,108,8531,CW186,N,C186,16,16m;12d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,355,355,NA,Y,"Winnipeg, Manitoba, Canada",NA,,,
40,SOD,108,6045,CW186,N,C186,17,16m;28d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,198,198,NA,Y,"Winnipeg, Manitoba, Canada",NA,,,
41,SOD,109,9774,CW184,N,C184,8,08m;13d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,210,210,NA,N,"Winnipeg, Manitoba, Canada",NA,,,
42,SOD,109,4705,CW184,N,C184,9,08m;25d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,138,138,NA,N,"Winnipeg, Manitoba, Canada",NA,,,
43,SOD,109,516,CW184,N,C184,9,09m;08d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,247,247,NA,N,"Winnipeg, Manitoba, Canada",NA,,,
44,SOD,109,4736,CW184,N,C184,9,09m;09d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,573,573,NA,N,"Winnipeg, Manitoba, Canada",NA,,,
45,SOD,109,6549,CW184,N,C184,10,09m;24d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,74,74,NA,N,"Winnipeg, Manitoba, Canada",NA,,,
46,SOD,110,8560,CW181,N,C181,10,10m;15d,Y,F,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,646,646,5,N,"Winnipeg, Manitoba, Canada",NA,,,
47,SOD,110,8924,CW181,N,C181,11,10m;21d,Y,F,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,580,580,5,N,"Winnipeg, Manitoba, Canada",NA,,,
48,SOD,111,4483,CW180,N,C180,5,04m;21d,Y,M,English,100,McDivitt,Winnipeg,hs,hs,unknown,118,118,NA,N,"Winnipeg, Manitoba, Canada",NA,,,
49,SOD,111,3451,CW180,N,C180,6,06m;03d,Y,M,English,100,McDivitt,Winnipeg,hs,hs,unknown,228,228,NA,N,"Winnipeg, Manitoba, Canada",NA,,,
50,SOD,2011,2790,CW121,N,C121,32,31m;23d,Y,F,French,100,Winnipeg,Winnipeg,hs,hs,unknown,481,481,2,N,"Winnipeg, Manitoba, Canada",NA,,,
51,SOD,2011,8181,CW121,N,C121,32,32m;08d,Y,F,French,100,Winnipeg,Winnipeg,hs,hs,unknown,480,480,2,N,"Winnipeg, Manitoba, Canada",NA,,,
52,SOD,2011,1499,CW121,N,C121,32,32m;14d,Y,F,French,100,Winnipeg,Winnipeg,hs,hs,unknown,483,483,2,N,"Winnipeg, Manitoba, Canada",NA,,,
53,SOD,2011,5333,CW121,N,C121,34,33m;25d,Y,F,French,100,Winnipeg,Winnipeg,hs,hs,unknown,480,480,2,N,"Winnipeg, Manitoba, Canada",NA,,,
54,SOD,2011,9440,CW121,N,C121,34,34m;09d,Y,F,French,100,Winnipeg,Winnipeg,hs,hs,unknown,490,490,2,N,"Winnipeg, Manitoba, Canada",NA,,,
55,SOD,2022,9527,CW004,N,C004,12,12m;04d,Y,F,English,100,Winnipeg,Winnipeg,unknown,NA,unknown,837,837,NA,N,"Winnipeg, Manitoba, Canada",NA,,,
56,SOD,2022,8822,CW004,N,C004,13,13m;14d,Y,F,English,100,Winnipeg,Winnipeg,unknown,NA,unknown,712,712,NA,N,"Winnipeg, Manitoba, Canada",NA,,,
57,SOD,2022,3634,CW004,N,C004,14,13m;18d,Y,F,English,100,Winnipeg,Winnipeg,unknown,NA,unknown,698,698,NA,N,"Winnipeg, Manitoba, Canada",NA,,,
58,ROS,,790,B-01,N,B-01 a1,12,12m;06d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,no inf,247,247,3,N,"Moreno, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
59,ROS,,6999,B-01,N,B-01 a2,18,18m;06d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,no inf,180,180,3,N,"Moreno, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
60,ROS,,6892,B-01,N,B-01 a3,28,28m;0d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,no inf,206,206,3,N,"Moreno, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
61,ROS,,9909,B-02,N,B-02 a1,12,12m;06d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,bhs,secondary incomplete,secondary incomplete,303,303,12,N,"Wilde, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
62,ROS,,1293,B-02,N,B-02 a2,20,19m;28d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,bhs,secondary incomplete,secondary incomplete,240,240,11,N,"Wilde, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
63,ROS,,2241,B-02,N,B-02 a3,25,24m;28d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,bhs,secondary incomplete,secondary incomplete,247,247,11,N,"Wilde, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
64,ROS,,881,B-03,N,B-03 a1,17,16m;19d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,bhs,primary,no inf,243,243,6,N,"Derqui, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
65,ROS,,8569,B-03,N,B-03 a2,23,23m;01d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,bhs,primary,no inf,240,240,6,N,"Derqui, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
66,ROS,,1378,B-03,N,B-03 a3,32,31m;16d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,bhs,primary,no inf,306,306,6,N,"Derqui, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
67,ROS,,7030,B-04,B-10,B-04 a1,10,10m;01d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary,240,240,9,N,"Quilmes, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
68,ROS,,9378,B-04,B-10,B-04 a2,17,17m;03d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary,341,341,9,N,"Quilmes, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
69,ROS,,7428,B-04,B-10,B-04 a3,23,22m;25d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary,229,229,9,N,"Quilmes, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
70,ROS,,8340,B-05,N,B-05 a1,17,16m;16d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary,220,220,6,N,"Quilmes, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
71,ROS,,7941,B-05,N,B-05 a2,22,21m;22d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary,224,224,6,N,"Quilmes, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
