Tipo,Precisión,Recall,F1-score,Support
KCHI,0.25465931675854053,0.8003771472347447,0.3863819013278144,33939
OCH,0.24227948722733295,0.6330416128324516,0.3504382502378494,41021
FEM,0.28706850295117153,0.6843984862214167,0.4044795161366536,18761
MAL,0.4023136532184648,0.8070824053452116,0.5369626742928267,22450
SIL,0.9303711332622209,0.2968047781650063,0.450039143121486,255663
SPEECH,0.35432536390376346,0.945570602950056,0.515486864380212,104337
Average_con_SIL,0.4118362428869157,0.6945458387914812,0.44063139158280706,476171
Average_sin_SIL,0.30812926481185465,0.7740940509167762,0.4387498412750713,220508
Macro_F1_Lavechin,0.30812926481185465,0.7740940509167762,0.4387498412750713,220508
