Tipo,Precisión,Recall,F1-score,Support
KCHI,0.6715374309160944,0.586242187214445,0.6259976972464532,27359
OCH,0.30465929602888087,0.6314005143792378,0.4110037287877635,17108
FEM,0.5169242809626297,0.5374014747012459,0.5269640230372236,39330
MAL,0.5242966751918159,0.1840421950398384,0.27244787773070855,17822
SIL,0.8161137023673326,0.6034881072462825,0.6938775510204082,92199
SPEECH,0.6730697000590223,0.8572111934943794,0.7540614057498385,87801
Average_con_SIL,0.5844335142542959,0.5666309453459047,0.5473920472620658,281619
Average_sin_SIL,0.5380974766316886,0.5592595129658292,0.5180949465103974,189420
Macro_F1_Lavechin,0.5380974766316886,0.5592595129658292,0.5180949465103974,189420
