Tipo,Precisión,Recall,F1-score,Support
KCHI,0.5067402443831297,0.7025904470433927,0.5888064486580562,9149
OCH,0.5513518966908797,0.3100357406251773,0.3968916808889212,17627
FEM,0.3239659862488487,0.5815518302060905,0.4161221542059289,26008
MAL,0.017779307180545996,0.10071474983755685,0.03022326216242566,1539
SIL,0.8836160193365561,0.6582049590625121,0.7544331721809828,128855
SPEECH,0.4757903256522567,0.7815817772998338,0.5915019865197801,51145
Average_con_SIL,0.4598739632487028,0.5224465840124272,0.46299645076934914,234323
Average_sin_SIL,0.3751255520311322,0.49529490900241024,0.40470910648702246,105468
Macro_F1_Lavechin,0.3751255520311322,0.49529490900241024,0.40470910648702246,105468
