Tipo,Precisión,Recall,F1-score,Support
KCHI,0.8553832933509972,0.8069037727564428,0.83043659621802,29607
OCH,0.0,0.0,0.0,0
FEM,0.5793894693710305,0.8401663695781343,0.6858251485388626,16830
MAL,0.41512345679012347,0.26864869017438736,0.3261974721328296,13017
SIL,0.9288345855065558,0.8686155780293928,0.8977163392350518,125677
SPEECH,0.7356853580061148,0.8460320674484104,0.7870096066578762,54323
Average_con_SIL,0.5857360271708036,0.6050610796644613,0.5878641937971066,239454
Average_sin_SIL,0.5171163155036532,0.552350179991475,0.5258937647095177,113777
Macro_F1_Lavechin,0.5171163155036532,0.552350179991475,0.5258937647095177,113777
