Tipo,Precisión,Recall,F1-score,Support
KCHI,0.534428754813864,0.6146214715956064,0.5717267708533604,16934
OCH,0.0,0.0,0.0,0
FEM,0.6992679897465712,0.7649235394443963,0.7306237402324876,34593
MAL,0.8482977373651935,0.5482724688388366,0.6660578790947882,36584
SIL,0.8792672010416243,0.8398332750378921,0.8590979565874215,102924
SPEECH,0.7982054546344808,0.8460091338419222,0.8214123752897309,77076
Average_con_SIL,0.6265778562669556,0.6022766481264422,0.6081531203429648,268111
Average_sin_SIL,0.5760399873120219,0.5547653227441524,0.5579641530940733,165187
Macro_F1_Lavechin,0.5760399873120219,0.5547653227441524,0.5579641530940733,165187
