Tipo,Precisión,Recall,F1-score,Support
KCHI,0.5574396942918557,0.7176018447348194,0.6274615229518112,6505
OCH,0.24345352631138625,0.18533851347047958,0.21045779995660663,15701
FEM,0.4901560178306092,0.6909927433231091,0.5734997361149917,26734
MAL,0.3406640333084232,0.6416649909511362,0.44504881450488143,9946
SIL,0.929420925952145,0.7371287406658806,0.8221811691768168,124677
SPEECH,0.5959713010675806,0.8738499358313901,0.7086432963698595,55323
Average_con_SIL,0.5261842497936667,0.6410961281628026,0.5645487231791613,238886
Average_sin_SIL,0.44553691456197103,0.6218896056621869,0.5130222339796301,114209
Macro_F1_Lavechin,0.44553691456197103,0.6218896056621869,0.5130222339796301,114209
