Tipo,Precisión,Recall,F1-score,Support
KCHI,0.6496943545487235,0.8140205442422058,0.7226332840059193,11098
OCH,0.0,0.0,0.0,156
FEM,0.7190940940940941,0.7521512940483591,0.7352513153475876,30563
MAL,0.0,0.0,0.0,0
SIL,0.9769588129865266,0.7888359300751663,0.872876325989189,138892
SPEECH,0.5677567683079598,0.9371411890629561,0.7071153899101513,41108
Average_con_SIL,0.4855840049895506,0.5486914929047811,0.5063127192088078,221817
Average_sin_SIL,0.3873090433901555,0.5006626054707042,0.4329999978527316,82925
Macro_F1_Lavechin,0.3873090433901555,0.5006626054707042,0.4329999978527316,82925
