Tipo,Precisión,Recall,F1-score,Support
KCHI,0.37336570788195744,0.7343864805290228,0.49504705299653295,5444
OCH,0.6856935940483244,0.24375117019284778,0.3596526063159349,42728
FEM,0.5467564433776114,0.7008239465999165,0.6142770623121665,38352
MAL,0.42232400552139543,0.3978837855411716,0.40973976563688935,16917
SIL,0.8050983540746688,0.6756392547923054,0.734709578151045,89049
SPEECH,0.7256198347107438,0.8398588250816373,0.7785711009524975,90951
Average_con_SIL,0.5931429899357835,0.5987239104561503,0.5653328610608443,283441
Average_sin_SIL,0.5507519171080065,0.5833408415889192,0.5314575176428042,194392
Macro_F1_Lavechin,0.5507519171080065,0.5833408415889192,0.5314575176428042,194392
