Tipo,Precisión,Recall,F1-score,Support
KCHI,0.5523575755176373,0.7682819383259912,0.6426679564246067,18160
OCH,0.449607600165221,0.6752481389578163,0.5397966774113563,9672
FEM,0.5918120086782565,0.6615433070866141,0.6247378831367767,31750
MAL,0.3873226710038854,0.5790611279972983,0.46417065973632204,14805
SIL,0.9127845844381457,0.7177844085345029,0.8036244352542237,111266
SPEECH,0.6605444088904263,0.888977798469462,0.7579230702439872,68734
Average_con_SIL,0.5924048081155954,0.7151494532286141,0.6388201137012121,254387
Average_sin_SIL,0.5283288528510852,0.7146224621674364,0.6058592493906098,143121
Macro_F1_Lavechin,0.5283288528510852,0.7146224621674364,0.6058592493906098,143121
